"time,latitudelongitude,depthmagType,nstgap,dminrms,netid,updatedplace,typehorizontalError,depthErrormagError,magNststatus,locationSource,magSource"
",-5.1528,-81.375999,,,,,,,,,,,,,,,,,,"
",-5.1584,-81.3731,,,,,,,,,,,,,,,,,,"
",-5.1649,-81.3754,,,,,,,,,,,,,,,,,,"
",-5.1713,-81.3759,,,,,,,,,,,,,,,,,,"
",-5.1776,-81.3765,,,,,,,,,,,,,,,,,,"
",-5.1837,-81.3777,,,,,,,,,,,,,,,,,,"
",-5.1897,-81.379,,,,,,,,,,,,,,,,,,"
",-5.1959,-81.378199,,,,,,,,,,,,,,,,,,"
",-5.202,-81.3784,,,,,,,,,,,,,,,,,,"
",-5.208,-81.3793,,,,,,,,,,,,,,,,,,"
",-5.2137,-81.381199,,,,,,,,,,,,,,,,,,"
",-5.2137,-81.380999,,,,,,,,,,,,,,,,,,"
",-5.2106,-81.379599,,,,,,,,,,,,,,,,,,"
",-5.2082,-81.3811,,,,,,,,,,,,,,,,,,"
",-5.2062,-81.3826,,,,,,,,,,,,,,,,,,"
",-5.1886,-81.378199,,,,,,,,,,,,,,,,,,"
",-5.1815,-81.3786,,,,,,,,,,,,,,,,,,"
",-5.1747,-81.3781,,,,,,,,,,,,,,,,,,"
",-5.1677,-81.378199,,,,,,,,,,,,,,,,,,"
",-5.161,-81.3799,,,,,,,,,,,,,,,,,,"
",-5.1541,-81.3808,,,,,,,,,,,,,,,,,,"
",-5.1335,-81.3808,,,,,,,,,,,,,,,,,,"
",-5.1265,-81.3822,,,,,,,,,,,,,,,,,,"
",-5.1196,-81.3833,,,,,,,,,,,,,,,,,,"
",-5.1129,-81.3847,,,,,,,,,,,,,,,,,,"
",-5.1064,-81.387499,,,,,,,,,,,,,,,,,,"
",-5.0992,-81.387099,,,,,,,,,,,,,,,,,,"
",-5.0921,-81.387099,,,,,,,,,,,,,,,,,,"
",-5.085,-81.3872,,,,,,,,,,,,,,,,,,"
",-5.0779,-81.3879,,,,,,,,,,,,,,,,,,"
",-5.0778,-81.3881,,,,,,,,,,,,,,,,,,"
",-5.08,-81.388199,,,,,,,,,,,,,,,,,,"
",-5.0779,-81.388899,,,,,,,,,,,,,,,,,,"
",-5.0757,-81.3899,,,,,,,,,,,,,,,,,,"
",-5.1398,-81.370999,,,,,,,,,,,,,,,,,,"
",-5.1377,-81.372799,,,,,,,,,,,,,,,,,,"
",-5.1354,-81.374599,,,,,,,,,,,,,,,,,,"
",-5.1331,-81.3761,,,,,,,,,,,,,,,,,,"
",-5.1412,-81.3686,,,,,,,,,,,,,,,,,,"
",-5.1394,-81.3702,,,,,,,,,,,,,,,,,,"
",-5.1373,-81.3723,,,,,,,,,,,,,,,,,,"
",-5.1498,-81.3732,,,,,,,,,,,,,,,,,,"
",-5.156,-81.373899,,,,,,,,,,,,,,,,,,"
",-5.1619,-81.3747,,,,,,,,,,,,,,,,,,"
",-5.1675,-81.3756,,,,,,,,,,,,,,,,,,"
",-5.1734,-81.3758,,,,,,,,,,,,,,,,,,"
",-5.1792,-81.3761,,,,,,,,,,,,,,,,,,"
